Area_m²,Location,Floor,Price_€,Newly_built
86.0,Kaštanjer,1,235000,0
121.0,Centar,1,420000,0
106.28,Centar,1,307422,0
67.0,Centar,3,145000,0
58.0,Veruda,2,135000,0
56.0,Veruda,3,221000,1
65.22,Veruda,3,176000,0
57.84,Šijana,1,139400,1
125.0,Štinjan,2,250000,1
51.0,Centar,3,177500,1
52.89,Valdebek,1,143000,1
75.02,Monte Zaro,2,239000,0
95.16,Valdebek,2,230000,0
54.07,Stoja,4,158000,0
76.25,Stoja,3,238600,0
89.28,Centar,1,261900,1
60.0,Veruda,1,185000,0
58.0,Veli vrh,0,157500,1
55.0,Centar,0,168000,1
42.0,Nova Veruda,1,126000,1
68.6,Monvidal,2,175000,0
61.0,Monvidal,2,146000,1
54.19,Monvidal,1,135475,1
49.7,Veruda,1,188860,0
66.0,Veruda,3,165000,0
115.51,Valdebek,2,298300,0
53.04,Veli vrh,1,141351,1
55.0,Veli vrh,0,144000,1
45.0,Kaštanjer,2,105000,1
109.13,Centar,4,271575,1
56.0,Šijana,2,145000,1
54.75,Valdebek,1,145908,1
63.89,Centar,1,204800,0
28.0,Centar,4,97000,0
70.92,Valdebek,2,184000,1
117.0,Sv. Polikarp / Sisplac,3,365000,0
38.07,Centar,0,125000,0
55.0,Valdebek,1,200000,0
70.86,Valdebek,0,219000,0
132.0,Veruda,0,185000,0
66.14,Stoja,1,206000,0
54.0,Centar,2,153692,1
129.0,Valdebek,2,220000,0
120.0,Centar,1,320000,0
48.78,Stoja,1,156096,1
104.47,Veruda,2,480000,1
60.0,Monvidal,3,131000,1
61.0,Centar,3,197540,0
70.92,Valdebek,1,184000,1
57.0,Šijana,0,135000,0
53.0,Gregovica,1,135000,1
60.0,Šijana,1,150000,0
71.0,Centar,1,257900,1
72.44,Valdebek,0,185627,1
43.96,Valdebek,0,119000,0
57.0,Centar,1,250000,0
55.0,Gregovica,1,171187,1
83.0,Centar,3,307000,0
52.0,Centar,0,145000,0
108.0,Veli vrh,3,228500,1
77.0,Kaštanjer,1,194000,0
50.0,Centar,2,135000,0
75.0,Centar,1,156000,0
50.66,Vidikovac,5,145500,0
94.0,Valmade,2,255000,0
117.0,Sv. Polikarp / Sisplac,3,365000,0
59.0,Centar,0,130000,0
32.3,Monvidal,5,110000,0
47.15,Šijana,1,122500,1
47.0,Centar,1,121500,0
72.11,Busoler,1,200000,0
89.61,Veruda,5,200000,0
69.0,Vidikovac,5,168000,0
76.86,Monte Zaro,1,269010,0
41.1,Centar,1,127000,1
138.8,Centar,4,366300,1
103.0,Centar,2,222000,0
85.0,Nova Veruda,1,297000,0
95.24,Veli vrh,2,215000,0
122.72,Šijana,3,296000,0
53.65,Vidikovac,6,147500,0
109.13,Centar,4,272500,0
102.0,Veli vrh,1,265000,0
80.0,Veruda,1,150000,0
51.0,Centar,4,182900,1
108.0,Veli vrh,3,228500,0
72.0,Veruda,5,159000,0
76.0,Monte Magno,1,285000,0
54.0,Veruda,3,159900,0
30.0,Centar,0,100000,0
51.0,Centar,1,283850,0
62.5,Monvidal,1,173000,1
124.95,Monte Zaro,3,130000,0
89.28,Centar,3,222500,0
136.0,Centar,0,290000,0
57.79,Monte Zaro,1,207500,0
95.16,Valdebek,2,209350,1
53.0,Centar,2,148512,1
54.0,Veruda,3,166000,0
105.0,Centar,0,187000,0
56.0,Nova Veruda,3,200000,1
56.5,Veruda,3,159700,0
54.87,Šijana,2,134000,0
53.37,Vidikovac,7,146800,0
38.1,Gregovica,1,127900,0
56.5,Šijana,1,179500,1
96.34,Vidikovac,4,259900,0
76.6,Centar,2,215000,0
64.0,Centar,0,145000,0
69.0,Veruda,1,241500,1
47.4,Šijana,2,126700,1
47.4,Šijana,2,126100,1
51.47,Veruda,1,160000,0
