Area_m²,Location,Floor,Price_€,Newly_built
65.0,Stoja,0,182000,1
148.01,Stoja,0,260000,0
62.0,Stoja,0,124500,0
71.23,Centar,2,240000,1
93.46,Nova Veruda,1,205000,0
111.0,Centar,2,175000,0
86.02,Centar,1,268000,0
68.77,Centar,2,192500,1
79.94,Štinjan,1,193000,1
61.89,Centar,3,173300,1
61.89,Centar,1,173300,1
45.0,Valdebek,0,120000,0
50.0,Kaštanjer,3,139000,0
55.0,Centar,0,125000,0
78.26,Centar,2,162000,0
61.89,Centar,2,173300,1
62.25,Centar,2,174300,1
89.28,Centar,1,223000,1
106.28,Centar,1,265700,1
69.35,Štinjan,0,165000,1
67.59,Štinjan,1,167000,1
89.28,Centar,3,223000,1
70.13,Centar,3,196300,1
62.77,Štinjan,1,159000,0
115.68,Veli vrh,2,234000,0
59.05,Veli vrh,1,131200,0
135.44,Centar,1,290000,0
54.0,Šijana,2,134000,0
50.0,Centar,2,110000,0
62.48,Centar,3,138000,0
79.24,Veli vrh,0,169000,0
83.0,Centar,1,163000,0
61.26,Štinjan,1,157000,1
43.97,Centar,2,177000,0
32.65,Centar,0,120000,0
79.24,Veli vrh,0,169500,1
94.84,Veli vrh,2,207000,1
74.0,Centar,4,145500,0
40.77,Veruda,0,157695,1
53.5,Veruda,0,202250,1
161.79,Veruda,1,587600,1
120.0,Kaštanjer,2,252000,1
54.0,Šijana,2,134000,0
100.2,Gregovica,0,162000,0
151.53,Centar,3,505000,1
56.0,Stoja,4,140000,0
51.0,Veruda,3,107000,0
57.43,Veli vrh,1,130000,1
77.99,Veli vrh,0,168400,1
57.32,Veli vrh,1,130000,1
115.68,Veli vrh,2,237200,1
79.24,Veli vrh,0,168100,1
92.0,Centar,2,230000,1
32.0,Centar,0,124500,0
170.0,Centar,1,519000,0
77.18,Nova Veruda,2,130000,0
61.62,Centar,0,141000,1
61.77,Centar,0,104000,0
121.99,Centar,1,259900,0
54.91,Veli vrh,1,143000,1
54.89,Veli vrh,1,142500,1
54.89,Veli vrh,2,142500,1
80.5,Centar,0,129000,0
91.0,Veruda,4,280500,0
79.08,Stoja,4,220000,0
40.73,Veruda,7,100000,0
125.0,Monvidal,1,285000,1
118.0,Centar,1,177000,0
64.0,Monvidal,1,155000,1
97.0,Centar,1,155000,0
44.39,Valdebek,0,120000,0
59.05,Veli vrh,1,133000,0
58.56,Veli vrh,0,125000,0
127.96,Veli vrh,2,257000,0
127.96,Veli vrh,2,257000,0
59.05,Veli vrh,1,133000,0
59.05,Veli vrh,1,133000,0
59.05,Veli vrh,1,133000,0
64.81,Veli vrh,1,135000,0
64.81,Veli vrh,1,135000,0
100.0,Gregovica,0,165000,0
136.0,Centar,1,287000,0
66.0,Centar,1,98000,0
79.0,Centar,0,130000,0
93.48,Stoja,0,210000,0
124.95,Monte Zaro,3,113000,0
54.94,Štinjan,1,159000,1
54.99,Štinjan,1,156000,1
203.0,Štinjan,0,246000,0
79.24,Veli vrh,0,168400,1
57.43,Veli vrh,1,130000,1
115.68,Veli vrh,2,237200,1
66.99,Centar,1,209000,1
71.23,Centar,2,222000,0
57.32,Veli vrh,0,130000,1
122.0,Centar,1,260000,1
80.48,Monvidal,3,221812,1
54.36,Štinjan,1,183552,1
100.0,Šijana,1,190000,0
63.0,Veruda,8,119000,0
124.0,Veli vrh,2,268000,1
67.74,Valdebek,2,138000,1
65.39,Stoja,0,166750,1
140.0,Centar,0,275000,0
54.0,Centar,0,125000,1
78.0,Veli vrh,0,168750,1
67.36,Monte Magno,0,194000,0
73.0,Stoja,0,225800,0
108.0,Kaštanjer,1,175000,0
110.75,Centar,2,165000,0
142.0,Centar,2,250000,0
192.0,Centar,0,470000,0
94.21,Centar,2,199000,0
56.7,Kaštanjer,1,120000,0
73.53,Stoja,0,205884,0
51.0,Centar,0,104000,0
80.0,Centar,0,108000,0
50.46,Veruda,4,105000,0
57.43,Veli vrh,1,130500,1
79.24,Veli vrh,0,169500,1
74.0,Nova Veruda,4,145500,0
43.5,Centar,4,100000,0
107.0,Centar,1,199000,0
84.0,Vidikovac,1,184000,0
65.4,Stoja,0,183120,0
92.25,Stoja,0,258300,1
39.0,Kaštanjer,2,83500,0
135.44,Centar,1,290500,0
41.0,Centar,1,104000,0
98.49,Šijana,1,175000,0
100.2,Gregovica,0,165000,1
91.67,Vidikovac,0,273000,1
60.65,Vidikovac,1,178000,1
73.53,Stoja,0,187550,0
73.53,Stoja,0,187550,0
62.85,Stoja,0,160300,1
65.4,Stoja,0,166770,1
74.03,Stoja,0,188780,0
65.39,Stoja,0,166750,1
89.88,Vidikovac,0,241000,1
65.4,Stoja,0,166770,1
62.79,Vidikovac,1,168000,1
93.48,Stoja,0,195000,0
79.24,Veli vrh,0,170000,0
57.0,Veli vrh,1,131000,1
15.68,Veli vrh,2,235000,1
57.0,Centar,1,185000,0
82.0,Stoja,1,258000,0
67.07,Štinjan,1,160000,1
86.15,Veli vrh,1,168000,1
75.0,Centar,0,113000,0
60.0,Centar,3,126000,0
63.58,Veli vrh,1,165000,1
54.91,Veli vrh,1,143000,1
115.0,Centar,1,140000,0
38.0,Veruda,1,133000,0
68.5,Štinjan,1,171350,0
96.0,Vidikovac,3,250000,0
74.0,Centar,1,220000,1
100.5,Centar,3,299500,0
47.0,Monte Magno,2,110000,0
112.0,Centar,3,235000,1
54.88,Šijana,0,111000,0
78.0,Centar,0,150000,0
76.0,Centar,1,160000,0
80.0,Centar,3,230000,0
74.0,Centar,1,145000,0
45.0,Centar,2,176400,0
62.48,Centar,3,139000,0
57.0,Centar,0,143000,1
120.0,Centar,2,252000,1
53.8,Centar,0,120000,0
118.0,Šijana,2,195000,0
92.25,Stoja,0,258300,0
70.26,Stoja,0,189000,0
82.07,Centar,2,250000,0
105.0,Centar,1,260000,0
62.0,Centar,0,156000,0
70.0,Centar,2,175000,0
69.9,Centar,3,175000,0
59.0,Centar,0,117500,0
125.0,Stoja,1,260000,0
97.21,Centar,1,155700,0
91.64,Centar,3,230000,1
151.53,Centar,2,393000,0
65.78,Štinjan,0,147000,1
70.33,Štinjan,1,157000,0
44.7,Štinjan,1,93000,1
62.5,Štinjan,0,140000,1
61.57,Štinjan,1,128000,1
61.29,Štinjan,1,137000,1
67.08,Štinjan,0,139500,1
59.21,Štinjan,1,132000,1
54.0,Šijana,1,130000,1
54.19,Centar,0,125000,0
98.49,Šijana,1,185000,0
108.0,Centar,5,270000,0
50.53,Centar,0,102000,0
60.06,Centar,0,137000,1
65.0,Centar,1,148500,1
76.81,Centar,1,171400,1
77.58,Arsenal,0,151000,0
124.95,Monte Zaro,3,117000,0
100.0,Centar,1,170000,0
54.62,Monte Magno,1,125000,0
97.0,Centar,1,166000,0
59.57,Centar,4,110000,0
108.5,Škatari,0,180000,1
114.0,Veli vrh,2,315000,1
54.0,Veruda,1,150000,0
100.0,Nova Veruda,0,210000,0
96.0,Veruda,0,216000,0
51.0,Veruda,3,128625,0
48.0,Veruda,3,120950,0
54.0,Veruda,1,150000,1
84.0,Centar,1,180000,0
59.05,Veli vrh,1,133500,1
57.43,Veli vrh,1,130500,1
78.91,Valdebek,0,205500,0
54.69,Valdebek,1,148500,1
76.1,Valdebek,2,180500,0
120.0,Centar,3,310000,0
89.0,Centar,4,150000,0
90.0,Centar,1,200000,0
140.0,Centar,1,280000,0
57.88,Valdebek,1,127300,1
122.21,Valdebek,2,269000,1
56.82,Valdebek,0,125000,1
64.47,Veli vrh,1,139000,1
66.88,Veli vrh,0,131000,1
89.0,Centar,1,280500,0
54.81,Veli vrh,0,126000,1
66.17,Veli vrh,1,136000,1
55.0,Veli vrh,1,120000,1
76.0,Valdebek,0,190000,0
69.0,Valdebek,1,140000,1
65.0,Centar,0,68000,0
57.0,Kaštanjer,1,120000,0
49.0,Kaštanjer,4,93000,1
46.0,Valdebek,2,73600,1
55.0,Štinjan,0,110000,0
52.0,Vidikovac,0,110000,0
59.0,Valdebek,1,100300,1
69.0,Štinjan,0,161000,0
92.0,Centar,3,229000,0
55.0,Centar,1,159650,0
110.0,Centar,1,137000,0
105.0,Valdebek,2,178000,1
86.91,Kaštanjer,3,169900,0
80.05,Kaštanjer,2,149900,0
55.0,Centar,0,125000,0
64.0,Stoja,0,133000,0
103.49,Nova Veruda,1,205000,0
82.5,Centar,1,191000,0
24.84,Centar,2,98500,0
93.0,Stoja,0,195000,0
94.0,Centar,1,186000,0
60.5,Vidikovac,1,110000,0
85.0,Šijana,2,185000,0
75.0,Centar,1,210000,0
5856.0,Centar,0,126575,1
103.0,Centar,1,199000,0
75.0,Centar,2,204500,0
84.0,Centar,1,196000,0
48.0,Centar,1,155137,1
62.0,Centar,2,192324,0
62.0,Centar,2,199772,0
89.0,Centar,1,242232,0
63.0,Centar,1,197924,0
119.0,Centar,0,189200,1
102.0,Centar,2,250000,1
79.24,Veli vrh,0,168400,1
66.75,Vidikovac,2,145000,0
83.78,Veruda,1,150000,0
69.54,Veruda,1,120000,0
50.46,Veruda,3,104000,0
67.74,Valdebek,2,138000,0
35.0,Centar,1,93000,0
142.0,Arsenal,3,250000,0
109.0,Centar,2,227000,0
50.53,Centar,0,105000,0
82.91,Monte Magno,2,180000,0
59.31,Monte Magno,2,127000,0
129.0,Valdebek,2,160000,1
120.61,Centar,0,368000,0
94.84,Veli vrh,2,209700,1
55.0,Gregovica,0,121000,0
96.0,Nova Veruda,0,210000,0
53.0,Centar,1,134000,0
63.0,Centar,2,158525,1
57.0,Centar,1,124000,0
73.0,Centar,2,250000,0
146.0,Štinjan,2,380000,0
70.0,Centar,1,215396,0
89.0,Centar,2,241800,0
64.0,Centar,2,197924,0
107.0,Centar,2,309000,0
45.0,Centar,0,160000,0
51.0,Centar,0,105000,0
60.34,Veli vrh,0,129000,0
84.0,Vidikovac,1,196000,0
93.5,Stoja,0,210000,0
53.0,Veli vrh,1,134000,1
59.05,Veli vrh,1,134000,0
91.0,Veruda,4,278000,0
58.0,Veli vrh,1,131000,0
79.82,Veli vrh,0,167000,0
128.0,Veli vrh,2,256500,0
36.0,Centar,0,120000,0
119.08,Štinjan,1,225000,0
69.41,Veli vrh,2,173000,1
56.54,Veli vrh,2,141000,1
58.41,Veli vrh,1,146000,1
69.58,Veli vrh,1,173900,1
145.0,Veruda,2,165000,0
138.0,Veruda,1,165000,0
80.0,Valdebek,1,176000,1
79.6,Centar,0,135000,0
79.0,Kaštanjer,0,135000,0
81.0,Veli vrh,1,158000,1
59.0,Valdebek,0,130000,1
115.0,Veli vrh,2,330000,1
58.4,Centar,0,128500,1
52.0,Veli vrh,1,129000,1
80.0,Stoja,0,169000,0
118.0,Veli vrh,2,270000,1
61.0,Veruda,1,152500,1
115.0,Valdebek,2,187000,1
58.0,Veruda,3,145000,1
61.64,Valdebek,1,120000,0
53.95,Centar,1,114000,0
55.0,Veruda,3,137500,1
76.0,Centar,0,200000,0
105.0,Centar,1,185000,0
100.0,Centar,1,130000,0
115.0,Veli vrh,2,236550,1
57.0,Veli vrh,1,129700,1
50.46,Veruda,4,108000,0
44.84,Centar,2,72600,0
29.59,Centar,0,66625,0
62.0,Stoja,0,125000,0
53.86,Monte Zaro,2,140000,0
105.0,Veli vrh,2,210000,0
80.46,Valdebek,2,135000,1
100.2,Gregovica,1,161000,0
54.8,Veli vrh,1,120000,1
67.28,Veli vrh,1,160000,1
107.26,Veli vrh,2,250000,1
112.54,Centar,2,235000,0
111.0,Centar,2,160000,0
95.68,Centar,4,100000,0
103.18,Valdebek,1,171500,1
86.02,Centar,1,236400,1
86.77,Štinjan,2,181000,1
54.86,Štinjan,0,114000,1
97.88,Štinjan,2,218500,1
98.84,Štinjan,2,205500,0
62.77,Štinjan,1,140500,1
118.42,Štinjan,2,246000,0
57.69,Štinjan,1,129000,1
67.56,Štinjan,0,151000,1
58.0,Štinjan,2,129500,1
71.53,Vidikovac,1,197200,0
120.0,Veli vrh,2,345000,0
32.0,Centar,2,75250,0
71.53,Vidikovac,1,191000,0
32.65,Centar,0,120000,0
80.05,Monte Zaro,0,187000,0
80.53,Centar,0,135000,0
31.11,Veruda,0,112500,0
67.54,Šijana,1,135000,0
54.19,Centar,0,125000,0
129.37,Centar,3,350000,0
116.76,Vidikovac,1,137000,0
106.0,Centar,3,360000,0
187.0,Veruda,0,329000,0
81.0,Centar,2,170000,0
74.73,Štinjan,0,215000,0
74.81,Štinjan,1,215000,0
79.0,Centar,0,168075,0
79.0,Štinjan,1,190550,1
89.0,Centar,3,242232,0
106.0,Centar,2,284025,1
63.0,Centar,3,138000,0
67.0,Centar,3,170000,0
71.0,Centar,0,156200,0
196.0,Centar,3,360000,0
82.0,Centar,2,187400,1
68.0,Centar,3,211588,0
106.0,Centar,1,284025,0
107.0,Centar,1,309000,0
131.0,Centar,3,350000,0
83.0,Centar,0,2700,1
118.07,Ilirija,2,195000,0
59.0,Valdebek,3,177000,0
57.0,Centar,1,130000,0
79.91,Centar,0,145000,0
127.96,Veli vrh,1,255200,0
74.21,Centar,1,160000,0
50.53,Centar,0,102000,0
127.0,Stoja,1,234000,0
56.0,Centar,1,120000,0
53.16,Šijana,2,145600,0
67.36,Monte Magno,0,200000,0
100.2,Gregovica,0,170000,0
85.04,Centar,2,210000,0
160.0,Centar,1,370000,0
54.69,Valdebek,1,149760,1
53.29,Valdebek,1,149760,1
76.1,Valdebek,2,182000,1
80.0,Stoja,3,166000,0
44.39,Valdebek,0,120000,0
60.0,Centar,1,185000,0
53.0,Centar,2,144200,0
79.0,Centar,3,165000,0
63.0,Centar,3,197924,0
62.0,Centar,3,199772,0
106.0,Centar,3,284025,0
70.0,Centar,3,215396,0
68.0,Centar,2,211588,0
59.0,Centar,0,130000,0
88.57,Centar,3,301500,0
64.13,Kaštanjer,4,119500,0
89.0,Centar,1,281000,0
100.0,Centar,2,135000,0
75.0,Veli vrh,1,165000,1
67.0,Vidikovac,2,156000,0
78.0,Arsenal,0,157000,0
304.0,Centar,2,1140000,0
208.45,Centar,1,160000,0
45.0,Valdebek,0,124500,0
410.0,Centar,4,550000,0
59.26,Vidikovac,2,130000,0
45.0,Centar,3,150000,0
56.0,Centar,1,120000,0
62.48,Centar,3,140000,0
60.0,Stoja,0,220000,1
102.0,Veli vrh,2,165000,1
108.0,Centar,0,360000,0
100.0,Šijana,1,190000,0
56.0,Kaštanjer,1,120000,0
84.0,Vidikovac,1,165000,0
69.0,Vidikovac,0,120000,0
56.0,Centar,1,122000,0
86.02,Centar,1,286000,1
61.26,Štinjan,1,158000,1
98.7,Centar,1,153000,0
119.0,Centar,1,175000,0
104.51,Centar,3,263000,1
59.8,Centar,4,150500,0
124.0,Centar,0,145000,0
56.25,Štinjan,1,117000,1
57.93,Štinjan,1,129500,1
58.11,Štinjan,2,130000,1
68.49,Štinjan,0,142500,1
86.73,Štinjan,2,193500,1
112.03,Štinjan,2,232500,1
70.84,Štinjan,0,145000,1
67.59,Štinjan,1,151000,1
67.57,Štinjan,0,151000,1
61.67,Štinjan,1,138000,0
110.36,Štinjan,2,229000,1
79.94,Štinjan,1,178500,1
70.0,Monte Magno,0,218000,0
