Location,Type,Area_m²,Price_€,Price
Veli vrh,0,8400,132000,132000
Štinjan,1,6989,490000,490000
Štinjan,1,2003,269000,269000
Štinjan,1,500,60000,60000
Valdebek,1,4374,500000,500000
Centar,0,525,32500,32500
Veruda,1,935,400000,400000
Busoler,1,1360,141500,141500
Kaštanjer,1,1106,445000,445000
Veli vrh,1,491,67100,67100
Štinjan,1,4300,803030,803030
Busoler,1,1360,141500,141500
Štinjan,1,6640,870000,870000
Štinjan,1,1089,203400,203400
Štinjan,1,1055,197500,197500
Šikići,0,4139,65000,65000
Štinjan,1,1065,198900,198900
Štinjan,1,1070,199830,199830
Štinjan,1,619,77500,77500
Štinjan,1,620,77500,77500
Štinjan,1,647,81000,81000
Škatari,0,1052,18700,18700
Monteserpo - Komunal,1,450,60500,60500
Veli vrh,1,5446,218000,218000
Monteserpo - Komunal,1,557,44000,44000
Valmade,1,1258,110000,110000
Šijana,1,5020,775000,775000
Štinjan,1,450,160000,160000
Štinjan,1,2300,287500,287500
Centar,1,8000,400000,400000
Centar,1,920,150000,150000
Veli vrh,1,1031,114000,114000
Štinjan,1,5134,960000,960000
Veli vrh,0,10400,585000,585000
Monteserpo - Komunal,1,1041,142000,142000
Gregovica,1,2200,272000,272000
Veli vrh,1,853,49500,49500
Šijana,1,35221,1056500,1056500
Valdebek,1,3374,80,269920
Šikići,1,643,54000,54000
Šikići,1,737,62000,62000
Veli vrh,1,522,76000,76000
Šikići,1,843,122500,122500
Busoler,1,1000,72000,72000
Monteserpo - Komunal,1,670,52000,52000
Centar,0,5000,1500000,1500000
Veli vrh,0,4055,146000,146000
Valdebek,0,1001,104000,104000
Veli vrh,1,865,129750,129750
Monteserpo - Komunal,1,670,52000,52000
Monteserpo - Komunal,1,670,52000,52000
Monteserpo - Komunal,1,1549,145000,145000
Valdebek,1,3300,396000,396000
Veli vrh,1,1500,125000,125000
Veli vrh,1,1100,94500,94500
Veli vrh,0,546,22000,22000
Veli vrh,0,601,22000,22000
Štinjan,1,2200,330000,330000
Štinjan,1,3300,495000,495000
Šijana,1,2600,419000,419000
Šijana,0,700,22500,22500
Veli vrh,1,460,67000,67000
Veruda,1,4924,1900000,1900000
Štinjan,1,6990,499000,499000
Centar,1,560,93500,93500
Veli vrh,1,1200,240000,240000
Stoja,1,10000,2500000,2500000
Valdebek,1,4373,495000,495000
Štinjan,1,2300,287500,287500
Šijana,1,1100,440000,440000
Valdebek,1,1617,242000,242000
Busoler,1,1360,140000,140000
Monteserpo - Komunal,1,670,50000,50000
Štinjan,1,7504,1876000,1876000
Štinjan,1,1030,103000,103000
Veli vrh,1,2590,160000,160000
Šijana,1,5016,775000,775000
Valdebek,1,4373,495000,495000
Šijana,1,5016,775000,775000
Šijana,1,1100,440000,440000
Veli vrh,1,2589,160000,160000
Štinjan,1,2340,122000,122000
Šijana,0,10800,51000,51000
Centar,1,500,65000,65000
Monteserpo - Komunal,1,539,73000,73000
Monteserpo - Komunal,1,41111,920000,920000
Gregovica,1,1730,173000,173000
Valmade,1,1500,127500,127500
Veli vrh,1,2741,219280,219280
Škatari,1,1815,130680,130680
Veli vrh,0,1290,99000,99000
Štinjan,1,3300,561000,561000
Štinjan,1,2200,352000,352000
Veli vrh,1,1300,220000,220000
Šijana,1,669,200000,200000
Šijana,0,8000,312000,312000
Šijana,1,557,42000,42000
Šijana,1,2567,183000,183000
Štinjan,1,848,93500,93500
